	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47
donor12	17.62	0.0396441496051118	8.92	0.00452861259777686	0.315274966603747	0.362237530061099	0.914	0.000996119766027683	0.171981235883477	0.755035617073029	0.879	0.000293607366875751	0.0769874104719961	78255	4342	162975	49672	632026	14004	1211828	0.765	0.00193267837010791	0.18348365276212	0.79296182960219	0.032463	88.63131	20.147072	193.060318	8.450536	0.069412	431.548279	2.673068	4.439643	946.71759	0.078259	102.207642	51.735794	1.778894	0.158067	4.788155	19.009741	0.195248	665.916321	9.46072	2.739655	0	2.105227
donor13	21.81	0.210335929627519	8.39	0.00180798004987531	0.0714702374491654	0.908859987032305	0.962	0.00382061311743837	0.82734467388338	0	0.94	0.00163959746694073	0.181876507419773	7639	32	11133	1729	161988	48	137464	0.922	0.0173510699826489	0.838056680161943	0	0.240254	29.126625	6.790044	396.389648	14.874043	0.569773	858.813049	1.653754	0.162205	1000.945557	0.126573	85.85804	174.966095	0.795316	0.058442	6.60215	14.75428	0.329747	998.856201	11.426146	4.556692	0.030095	0.161932
donor14	100.31	0.325953250519722	19.52	0.00419206478445525	0.0938861090377768	0.455388081948425	0.961	0.00323683334845872	0.178459428663621	0.807534460679029	0.941	0.000588852236173691	0.0946909551124678	32746	804	95820	14323	904565	1977	1511897	0.93	0.00593451092648188	0.167911750331634	0.801019339523843	22.810066	42.754875	25.722778	2920.690674	25.594212	31.003458	534.610107	15.231694	6.890346	5175.852051	0.403385	218.809235	3078.081543	39.394394	2.628822	264.537537	104.153603	0.775559	14325.886719	205.990128	17.855022	0.045765	48.814201
donor15	8.47	0.143621688825371	6.07	0.00831283399779455	0.0757297633172999	0.518062662933282	0.95	0.00568595342066958	0.28889192139738	0.659047489082969	0.916	0.0017831181265102	0.140141940255411	59244	3785	152445	31024	857200	14842	1646512	0.909	0.00251418256833419	0.108947911294482	0.872195719443012	0.387226	66.884697	28.986204	634.565796	18.467598	0.298403	1669.322876	4.113986	4.485368	2837.39209	0.029704	185.67807	269.18866	3.68464	0	4.781803	16.824335	0.196373	1340.355469	5.930829	8.640032	0.063267	10.035764
donor16	22.17	0.0984194594918594	4.3	0.00685605857186331	0.408407028226182	0.101434520340703	0.851	0.000182263484649997	0.109608703081392	0.728803326308595	0.832	8.66356816699282e-05	0.113508031637312	26466	1393	108712	49125	162447	2029	835105	0.767	0.00203562340966921	0.225832061068702	0.743674300254453	7.141493	9.077783	2.909981	413.509369	25.201027	10.180038	16.24502	2.807659	0.706228	452.483093	0.310292	88.536888	2435.167725	20.56119	1.137852	18.936195	7.305896	0.564532	9160.726562	17.757797	106.22451	0.077696	31.01972
donor17	15.95	0.106276842242269	13.14	0.0355873477143176	0.551780315615596	0.0818248158475456	0.894	0.000131933736280953	0.200052773494512	0.756862615751239	0.838	2.93681731234227e-05	0.0430204578693978	118252	686	89611	53906	932089	1049	1183788	0.858	0.00280117241123437	0.0687493043445999	0.904611731532668	0.703926	10.895245	2.352654	728.174866	12.966107	0	2597.95752	0	0.706361	1542.34082	0.163939	618.672119	326.193512	1.570033	2.575857	1.948234	12.450019	0.685677	690.789062	4.958348	41.229786	0.322511	3.585797
donor18	223.38	0.326144094788763	41.48	0.00114969869965113	0.0418383273996637	0.93781878649773	0.981	0.00196629213483146	0.87935393258427	0	0.971	0.000661129705384075	0.206809635965456	3469	9	1732	1817	154336	22	10616	0.919	0.0198128783709411	0.806824435883324	0	0.56038	4.709984	2.218553	341.693634	6.004982	2.127647	3.592015	4.39616	0	438.745483	1.19574	29.389236	889.9599	2.896437	0.333813	5.64243	9.167528	0.029452	2513.21582	11.893943	8.982593	3.176821	0.509442
donor19	84.04	0.0640871662779917	17.13	0.0132437977989181	0.0371169990511406	0.945459473943306	0.975	0.00410846343467543	0.788824979457683	0	0.969	0.00138194261647802	0.189095814688076	2663	12	235	24	295667	42	8778	0.615	1	0	0	0	2.125983	0.195164	28.796452	0.485333	0	0.996598	0.57683	0.166777	51.843075	0.693907	15.836617	20.910156	0.533869	0.023155	1.563226	1.637466	0.013332	117.408379	1.708423	0.362271	0.408714	0.122476
donor20	39.09	0.176537967163659	7.06	0.00332340793391605	0.064899296694018	0.916751574657281	0.961	0.0069683257918552	0.812488687782805	0	0.939	0.0027584304530722	0.201210261361285	35737	137	36613	6852	554975	195	463224	0.927	0.00802685347343841	0.937098657326328	0	0.109312	9.552825	1.096196	303.748901	4.174175	0.261866	85.130974	0.701602	0.237135	646.111511	0.266168	43.675877	199.197464	2.931202	0.094524	4.049941	17.536039	0.068834	1212.878174	24.576319	3.065257	0	2.046613
donor21	36.1	0.0595263381478335	18.94	0.0143876741814886	0.0491668093098998	0.872893316368405	0.961	0.00658978583196046	0.878308621636464	0	0.948	0.00314474160242674	0.197098303323779	13157	200	32653	3138	324142	383	382787	0.925	0.0105162523900574	0.898024219247929	0	0.11886	4.215848	0.843057	91.506363	1.107099	0.510376	6.377944	1.351707	0.198834	63.69038	1.580382	34.268711	113.475273	0.996056	0.084371	3.475685	6.78322	0.019887	724.113281	10.186668	0.301657	1.587669	0.36783
donor22	27.32	0.0610817842260941	13.01	0.0136598771419334	0.0530925991232544	0.930291805641687	0.968	0.00458671763019589	0.830195891065456	0	0.957	0.00243215565796211	0.221183933549525	15824	1540	114216	41064	209177	2634	1136747	0.915	0.00319014221702708	0.0772209234365868	0.904076563413209	0.614588	18.294533	3.062243	453.307251	10.588673	1.709194	79.709991	0.808384	2.949528	640.576599	0.523854	46.126293	1581.580444	7.160393	0.159931	11.452744	10.454455	0.112531	5243.79541	8.166687	11.795954	0.273784	3.128982
donor23	124	0.265729239718958	13.35	0.00816748028539241	0.176894159822229	0.427344931150101	0.952	0.00666422239955141	0.328746737981754	0.64058489874264	0.93	0.000455578925855594	0.112293818602948	6686	98	13490	1448	214828	193	206808	0.93	0.0200276243093923	0.791436464088398	0	0	0	0	52.167328	6.971661	0.448894	0	0.56312	0.32407	51.497784	0.844571	21.308161	67.228546	1.538436	0.344621	0.810274	6.987707	0.016941	266.67746	5.31438	0	0.355311	0
donor24	10.64	0.175153508826293	18.46	0.00836244040486449	0.0566885844222148	0.893168074382564	0.961	0.00678567061988018	0.88183151974569	0	0.939	0.00243064156551895	0.158572269011642	21769	320	52880	7853	401863	448	582939	0.886	0.00993250986883993	0.928434992996307	0	0.15654	21.502911	6.998982	340.313812	8.161087	6.139289	400.168335	0.380307	3.97823	1662.374756	1.115057	105.778633	297.331238	2.250068	0.371709	4.007609	9.122887	0.286377	968.237549	14.562812	4.91389	0.866363	22.849464
donor25	23.25	0.336969143104564	6.79	0.00618199802176063	0.0783714216380528	0.914028218542524	0.964	0.00372182050191408	0.784028073160357	0	0.942	0.00129340277777778	0.130208333333333	9595	429	34628	4418	148317	978	412339	0.908	0.00882752376641014	0.899049343594387	0	0.104309	1.78064	0.253161	40.485386	1.082966	0.162944	11.679972	0.040939	0.421108	111.585213	0.911588	29.216017	13.594786	0.584728	0.143785	1.03106	0.607117	0.10081	64.33886	1.806114	0.079961	0.743405	0.238408
donor26	33.39	0.370681125679354	12.22	0.00235930334278822	0.0430439077952447	0.793943005074891	0.962	0.00668071559879837	0.917455050890015	0	0.947	0.00332597093427985	0.203030329073455	16311	430	48960	17334	464787	1121	852974	0.938	0.00548055844006	0.106207453559478	0.866332064151379	1.809618	17.085968	5.795939	661.056885	4.592247	4.8164	520.680054	2.054031	1.984738	2347.124756	0.579978	130.227814	1156.218384	8.682773	0.211157	5.518868	15.962973	1.177119	3150.395508	8.831499	20.521317	0.256955	7.259879
donor27	64.1	0.25608276284783	13.93	0.0152404883511321	0.0453707254111382	0.917301179465741	0.958	0.007113654946852	0.82551103843009	0	0.95	0.00329556960816155	0.200647651070821	7355	50	9754	4387	198354	104	133339	0.916	0.0113973102347846	0.939822201960337	0	0.724648	5.466417	1.48569	230.436172	2.555442	3.149331	2.711198	0.418002	1.754393	314.412445	0.870383	58.371479	395.180573	8.696692	0.442403	5.799198	11.818745	0.049221	1120.684692	15.432112	4.522832	2.170799	2.823997
donor28	40.85	0.0656180699145113	27.73	0.00285847786053926	0.225148429734942	0.327964440372524	0.945	0.0056041762628589	0.331828650391525	0.647458928297252	0.923	0.00017682228255464	0.10093236916072	62738	2173	135666	72994	585760	4121	1200402	0.876	0.00283584952187851	0.0546894265282078	0.92841877414582	0.08133	0.724474	3.928362	515.380981	3.830275	0.488702	28.33078	0.509021	0.237168	1490.63916	0	22.26746	299.903961	7.793699	3.606601	2.755268	7.793669	0.561649	169.349091	13.754589	23.468561	0.192974	0.797592
donor29	20.29	0.129231088293573	2.9	0.00420275554581004	0.0390258079240965	0.906933622692094	0.975	0.00364090294393009	0.263393321543743	0.68126495370852	0.965	0.00109302313301616	0.0878325932105838	15620	117	17176	6622	369617	260	255806	0.941	0.006795530051344	0.226668680157052	0.728329809725159	0.013549	12.832001	1.244296	85.319542	2.211379	0.307507	436.75354	0.280529	0.310867	529.957764	1.828222	130.528183	49.645126	0.733348	0.10188	3.536865	11.735983	0.119862	220.539917	6.376407	1.378857	2.302733	0.253043
donor30	49.69	0.211312452859108	15.81	0.00402520837568611	0.0464465832877525	0.924619642600029	0.958	0.00677771395749569	0.783228029867892	0	0.946	0.00196223858718822	0.159198285377235	21233	773	69498	14326	395767	1639	834228	0.918	0.00677090604495323	0.265810414630741	0.706477732793522	0.031146	3.982007	0.220911	51.766796	0	0.093906	110.121849	0.935801	0.442615	174.888962	0.517188	27.644815	14.605288	0.284482	0.048954	2.393412	2.334553	0.069639	64.258781	1.891318	0.127048	0.437099	0
donor31	16.4	0.289871636954492	22.36	0.00510627433458863	0.0672347528332761	0.942550560105282	0.971	0.00305064063453325	0.764693919056335	0	0.956	0.00153238745966215	0.171555283131118	4596	204	22528	2560	143159	523	311760	0.941	0.012109375	0.865234375	0	0.105103	5.353728	0.931987	281.364441	1.759593	0.950271	317.570648	0.527623	1.148946	824.140381	0.432179	114.599518	172.617294	2.561682	0.145128	6.512603	4.462423	0.121042	590.360718	4.99073	1.088358	3.21821	0
donor32	41.13	0.341503553375962	58.13	0.00127640992912566	0.0650919188194659	0.920294182042555	0.966	0.00566379700951518	0.855761969491013	0	0.96	0.00203800886533856	0.12612727365364	7246	64	6534	2774	455114	196	133167	0.943	0.0223503965392934	0.893294881038212	0	0.244897	9.881459	1.739679	1591.228882	10.60161	6.558446	190.520874	2.265111	0.177428	3383.94751	0	111.779037	1528.41748	15.127073	0.493863	8.744597	17.81345	0.641249	5848.852051	11.22275	14.778811	0.228227	24.710131
donor33	64.62	0.300412021755878	9.29	0.00688868613138686	0.270155094453441	0.343667898634277	0.946	0.00718115664496362	0.333684412102643	0.645040214477212	0.924	0.000253946409115857	0.125887788454449	22257	1153	101330	29320	305294	2052	1006332	0.901	0.00381991814461119	0.122169167803547	0.856923601637108	0.873895	6.322209	0.562407	430.568726	1.66264	3.915271	137.736359	0.389781	1.405173	792.296265	0.529279	94.379211	525.5177	5.906662	0.31034	11.280276	9.916779	0.167524	1600.612183	12.751367	10.449398	2.002686	3.416575
donor34	16.95	0.202120341669157	5.15	0.00299546196480781	0.06906930088243	0.908206448861423	0.963	0.0035109143642192	0.854068081208976	0	0.947	0.001293911573907	0.109674409597831	15220	177	31005	3433	336086	384	404877	0.961	0.0113603262452665	0.21176813282843	0.711039906787067	0.129179	20.001003	2.135797	173.175644	3.372339	0.371998	145.01265	1.50365	0.376186	685.158691	0.23825	68.844803	54.723843	3.291127	0.182415	5.859136	8.942101	0.210986	229.487289	10.015779	0.761918	0.125389	0.600601
donor35	33.71	0.258668495757819	23.39	0.00497634562170847	0.068713359237189	0.898880133656036	0.967	0.0034193242602749	0.214977317353917	0.708646489268062	0.949	0.00155584623629271	0.108989910049038	12140	54	12544	6163	268417	106	147124	0.927	0.00746389745253935	0.951971442479312	0	1.968343	4.00229	0.43607	269.254608	8.621307	6.439856	3.347577	1.275586	0.181684	278.140137	0.041389	100.886612	160.393585	14.010508	1.707381	6.046435	5.861432	0.242408	237.603043	29.25242	45.303341	0.094502	0
